Year,Month,Category,Region,Units_Sold,Revenue,Profit,Customer_Rating,Ad_Spend,profit_margin
2020,April,Home Decor,North,485,94360.58,25442.39,1.5,174.51,0.2696294363599715
2021,October,Fashion,South,95,14081.4,3457.23,3.5,3975.18,0.2455174911585496
2022,February,Groceries,East,182,13700.5,3985.61,3.4,1929.31,0.29090982080945954
2020,April,Fashion,South,419,81856.23,20726.68,2.8,3706.92,0.25320833857117536
2020,September,Beauty Products,North,469,51810.41,5624.12,2.9,2362.07,0.10855193000788836
2021,March,Home Decor,North,127,13621.99,1581.6,2.8,3412.09,0.11610638386902354
2020,December,Home Decor,North,190,6439.93,1767.44,2.3,799.25,0.27445018812316285
2021,September,Groceries,North,124,5850.86,1739.79,1.6,560.17,0.29735628608443887
2022,December,Books,East,93,2786.24,756.29,1.9,1089.83,0.27143749282186747
2023,February,Books,West,43,7338.19,1452.8,2.2,2668.78,0.1979779754953197
2021,April,Fashion,West,354,6720.94,1747.56,1.4,1422.65,0.2600171999750035
2023,July,Fashion,South,409,4092.73,1218.1,4.6,1329.19,0.29762530144915494
2022,January,Electronics,East,256,5863.97,1574.05,2.2,3327.72,0.2684273623500802
2024,September,Home Decor,North,287,26345.19,6822.97,1.9,4403.11,0.25898351843353573
2022,August,Fashion,West,283,28070.84,5373.32,3.8,4175.27,0.1914199931316626
2023,September,Home Decor,West,384,38287.41,6894.6,4.1,4825.21,0.180074860117203
2023,September,Groceries,West,220,21045.26,6102.27,1.1,3036.6,0.28995935426789693
2023,September,Electronics,West,49,6759.51,696.32,4.2,2979.79,0.10301338410624439
2024,January,Books,North,113,13522.83,2033.34,1.1,2527.13,0.15036349639831306
2020,February,Home Decor,South,347,46203.45,7359.0,4.3,4540.45,0.15927382046145905
2021,June,Fashion,West,400,22018.29,4825.24,4.9,3201.09,0.2191469001452883
2024,December,Electronics,South,346,41810.49,9999.55,3.9,404.29,0.23916366442966824
2024,June,Electronics,West,111,21734.43,4356.58,1.1,318.91,0.2004460204385392
2020,June,Electronics,East,226,29221.25,7266.31,2.3,4317.71,0.24866526928177268
2021,October,Fashion,West,31,2753.46,361.86,1.5,947.41,0.13142010415985705
2024,December,Books,North,313,51145.35,7860.27,4.0,2856.29,0.1536849391000355
2024,January,Groceries,South,199,4415.14,1166.15,3.2,2962.36,0.2641252599011583
2022,May,Groceries,South,104,9469.76,2598.29,4.4,489.83,0.2743775977427094
2022,November,Groceries,South,493,64152.93,17643.91,3.6,1781.54,0.2750289035902179
2023,July,Beauty Products,West,451,85527.43,24716.61,4.7,792.19,0.28899044435218035
2021,October,Groceries,South,113,19979.99,4489.14,5.0,281.05,0.2246817941350321
2024,December,Groceries,East,260,8203.08,2323.19,3.3,1784.33,0.28320947741579994
2023,April,Groceries,East,379,6301.48,695.66,4.2,3461.11,0.11039628785618617
2020,February,Beauty Products,North,109,8281.69,1947.11,1.7,2195.26,0.23511022508690857
2024,September,Beauty Products,West,497,75536.06,9936.01,4.6,2755.04,0.13153995588332248
2022,June,Beauty Products,North,119,11328.09,1236.26,2.3,1831.44,0.10913225442241366
2024,June,Beauty Products,South,135,25747.65,4005.03,2.6,687.07,0.15554934139620508
2023,February,Home Decor,North,485,70031.97,16859.47,4.5,3807.15,0.24073962220397344
2021,July,Electronics,West,384,15346.9,4457.36,4.1,3220.82,0.2904404146765796
2020,June,Home Decor,North,273,28686.07,6312.85,3.0,4811.97,0.22006674319626218
2023,February,Electronics,South,75,4110.48,1199.2,3.4,378.87,0.29174208364959814
2022,June,Electronics,South,111,3250.98,798.13,1.0,2175.39,0.24550443250958173
2020,March,Home Decor,East,342,11131.22,2349.0,4.8,2606.19,0.21102808137832152
2023,June,Electronics,North,254,11575.18,2697.98,3.4,4037.86,0.23308320043403213
2022,June,Home Decor,West,245,26227.84,3440.56,5.0,2238.59,0.1311796930284766
2020,April,Fashion,West,366,68801.06,9363.4,2.9,3475.15,0.13609383343803133
2022,October,Electronics,North,484,82115.5,22629.41,4.0,1814.61,0.27558024977014084
2023,September,Groceries,East,110,15483.49,3905.42,2.9,494.47,0.2522312476063213
2022,November,Fashion,West,66,4752.79,631.91,2.3,4472.69,0.1329555902953844
2020,August,Books,East,107,19099.15,4746.81,4.4,4777.28,0.2485351442341675
2021,March,Home Decor,East,458,42497.96,12590.67,4.0,2995.7,0.29626527955694815
2024,August,Electronics,West,387,23224.58,6461.36,1.5,965.96,0.2782121355908266
2021,October,Books,South,195,32072.6,3722.84,4.5,1902.23,0.11607540392733985
2023,January,Electronics,East,267,11898.21,2393.68,1.6,1717.5,0.2011798413374785
2021,October,Electronics,West,140,8799.09,939.77,4.5,3962.33,0.10680308986497467
2023,March,Books,East,380,15520.9,2343.03,4.6,2837.74,0.1509596737302605
2020,May,Books,East,418,30818.5,7804.1,3.4,4735.28,0.25322776903483296
2022,July,Home Decor,South,287,22985.16,3197.43,4.2,1430.33,0.13910845084393583
2024,April,Books,East,412,58443.22,13427.77,3.9,168.07,0.22975753218251835
2022,May,Books,West,193,12166.75,2147.91,4.7,2561.18,0.17653933877165223
2022,February,Electronics,West,414,43669.63,10642.53,2.5,1820.03,0.24370552257942193
2024,April,Groceries,South,118,1745.05,501.08,1.1,4307.14,0.28714363485286953
2023,May,Books,South,165,8454.1,1063.72,1.7,3481.41,0.12582297346849458
2022,May,Home Decor,West,283,45590.05,11133.52,2.5,4748.34,0.24420942727634648
2020,May,Beauty Products,West,74,12742.1,1693.6,3.5,3651.92,0.13291372693669018
2023,October,Books,South,421,15004.2,1526.95,2.3,2067.17,0.10176817157862465
2020,July,Books,South,396,8209.28,1885.27,1.5,4442.9,0.22965107780463084
2020,June,Books,East,362,6215.24,934.69,3.7,4781.89,0.15038679117781456
2023,December,Groceries,South,259,50664.3,5372.72,3.6,3165.37,0.10604547975596229
2022,October,Beauty Products,East,143,16135.12,3384.27,2.9,2527.88,0.20974557363068883
2023,August,Home Decor,North,405,49936.89,14839.11,5.0,1399.76,0.297157271908603
2024,February,Beauty Products,West,279,48068.4,10918.53,4.7,746.67,0.22714569238834662
2020,August,Home Decor,East,189,3852.16,1153.67,3.0,2571.28,0.299486521847483
2020,April,Fashion,West,31,2914.84,690.76,3.2,1657.21,0.23698041745001439
2023,January,Fashion,North,304,5787.94,584.87,1.9,3706.7,0.10104976900244302
2024,August,Groceries,North,321,36545.15,4384.0,3.7,3886.92,0.1199611986816308
2021,April,Beauty Products,South,255,21022.47,3076.34,4.0,1335.65,0.1463358016446212
2024,June,Beauty Products,North,298,26404.43,7656.52,1.6,1228.37,0.28997103895066095
2023,June,Books,North,122,11240.79,3250.72,3.2,1713.08,0.28918963880652515
2020,February,Home Decor,North,405,14349.38,4025.07,4.8,2386.02,0.2805048022980784
2023,August,Fashion,South,397,40691.84,10320.25,4.2,4962.0,0.2536196446265394
2022,October,Groceries,West,462,81627.53,11835.38,2.7,3275.56,0.14499250436709282
2022,December,Fashion,South,315,10497.75,2102.42,2.9,1629.43,0.20027339191731564
2021,November,Groceries,South,21,3528.46,906.84,3.2,3298.32,0.25700730630359986
2023,April,Beauty Products,South,51,2451.12,461.66,1.5,4565.34,0.1883465517804106
2024,November,Fashion,North,265,18820.91,2720.98,1.7,3054.29,0.14457218062250976
2024,November,Beauty Products,South,231,32945.77,6352.1,4.2,781.27,0.1928047212130723
2024,July,Beauty Products,East,248,37602.5,6115.26,4.2,1163.19,0.16262908051326375
2020,May,Home Decor,South,83,854.98,198.46,1.7,4833.42,0.23212238882780883
2021,January,Groceries,South,245,6293.52,1102.89,3.1,1591.39,0.17524215383442016
2021,January,Electronics,West,138,23239.39,3642.42,4.8,2488.49,0.15673475078304552
2020,May,Groceries,South,473,65076.8,11561.38,1.8,3233.73,0.1776574754751309
2024,October,Books,East,158,11420.89,2537.14,3.8,3845.88,0.22214906193825526
2020,July,Groceries,West,413,14029.37,2939.92,3.4,499.51,0.2095546699531055
2020,February,Electronics,East,380,44422.58,7868.14,1.8,2693.3,0.17712028432387314
2022,January,Fashion,South,278,34619.07,9435.57,2.4,3777.46,0.2725541154051799
2020,October,Books,West,490,19828.0,4405.5,3.5,4337.39,0.22218579786160986
2024,December,Home Decor,South,414,25215.07,2611.03,4.9,2763.49,0.10355037681830748
2023,March,Beauty Products,South,421,82039.39,24417.67,4.4,2176.89,0.29763349044891724
2021,November,Electronics,West,464,84429.15,18727.85,1.3,1529.97,0.2218173462601483
2023,June,Groceries,West,314,54938.78,16368.36,5.0,2064.17,0.29793817773164966
2024,March,Fashion,West,114,19720.84,5700.75,4.2,1041.68,0.2890723721707595
2023,July,Home Decor,East,258,13146.68,3391.75,1.2,778.92,0.2579928925021374
2021,August,Beauty Products,South,374,37676.53,9829.44,4.2,1159.79,0.26089026776085805
2022,March,Home Decor,North,51,2595.4,606.63,4.5,2834.09,0.23373275795638437
2024,September,Home Decor,North,167,27997.27,5460.08,1.0,2441.15,0.19502187177535524
2022,December,Electronics,North,133,10557.19,2689.03,2.4,3229.38,0.25471077057436686
2023,February,Books,North,122,9396.1,1658.88,3.8,2787.23,0.17654984514851907
2022,September,Books,West,473,74224.57,16692.45,3.7,3278.21,0.2248911647450433
